Epoch,Train_Loss,Val_Loss
1,2815.8687222245812,1786.847450764974
2,2527.30347210428,1652.5792256673178
3,2281.6757025234942,1587.7812815348307
4,2097.0359819937444,1576.1755818684896
5,1941.7289676389832,1609.0110972086588
6,1830.7553772857223,1521.2796681722004
7,1736.5307705644248,1403.4735677083333
8,1667.0471098526664,1412.3841817220052
9,1606.4621834132981,1353.7858469645182
10,1546.8731371008832,1333.836808268229
11,1508.1379695284195,1308.2591186523437
12,1478.1999653249547,1315.2457366943358
13,1444.6793009440105,1325.2965576171875
14,1418.2022523741791,1291.9632598876954
15,1402.5731692106826,1271.504086303711
16,1386.8240179531815,1276.5477060953776
17,1373.5017651544101,1248.4021128336587
18,1366.84509188887,1247.8713836669922
19,1355.8727315266926,1240.361698404948
20,1347.8678155429122,1249.099346923828
21,1347.252520132756,1241.0489329020181
22,1341.4220479329426,1232.9678059895834
23,1330.9377671393795,1222.4345967610677
24,1335.824191328408,1226.084531656901
25,1328.8699535425158,1274.9984100341796
26,1327.770089412081,1219.107840983073
27,1327.7417580424876,1222.8196197509765
28,1331.0014524598053,1210.7908559163411
29,1326.8281143851902,1232.2433837890626
30,1320.4665213322294,1212.1193613688151
31,1319.127169844033,1206.048164876302
32,1314.1905088562896,1208.835708618164
33,1309.8085791546366,1200.6011027018228
34,1317.0951095802197,1188.3445231119792
35,1315.7189039147418,1196.9082916259765
36,1310.7927108985791,1194.056712849935
37,1296.2576488550158,1193.6834411621094
38,1291.3644196883492,1174.658901977539
39,1295.8566368213599,1172.2477701822916
40,1296.8376341004303,1175.7370737711587
41,1287.2920983355978,1164.580584716797
42,1288.8888947860055,1159.95793355306
43,1294.5128837253737,1223.4536427815756
44,1292.2049750728884,1163.5005157470703
45,1285.6293454377549,1162.4373555501302
46,1287.0987438257189,1162.5233469645182
47,1294.1218137879303,1161.6642262776693
48,1290.1306749426801,1160.0565694173176
49,1283.8823392563972,1166.7888346354166
50,1283.5647989908855,1164.6536041259765
51,1282.8643940358922,1156.7441599527995
52,1286.7587696020155,1162.4258443196616
53,1275.6690364229507,1152.6076171875
54,1282.6674419900646,1157.6085896809896
55,1278.3378065910892,1151.2077056884766
56,1272.9659470267918,1147.517755126953
57,1279.4611896017323,1150.0481119791666
58,1275.7615727963655,1164.9574147542319
59,1273.5913749363112,1156.8538218180338
60,1268.4417569810066,1147.2353322347005
61,1269.4269431293874,1145.7134694417318
62,1277.1881222932236,1142.5751180013021
63,1280.3960650900135,1148.3622762044272
64,1276.9058227539062,1147.0140167236327
65,1278.4096396625905,1156.509888712565
66,1264.5629042473392,1149.577587890625
67,1272.6166045700295,1146.6369018554688
68,1269.216697803442,1146.899237060547
69,1268.2331918909929,1142.8938954671223
70,1266.6665538843126,1145.9349263509114
71,1267.9533815245697,1146.1795399983723
72,1262.7037216407666,1155.5383595784506
73,1257.3199737106545,1139.8677083333334
74,1256.4184955099354,1132.3372334798178
75,1260.6542128410892,1137.1200805664062
76,1256.8996007062387,1130.2953389485676
77,1261.7311830382416,1135.9936808268228
78,1256.377021236696,1137.4380147298177
79,1267.7028596297555,1151.2408060709636
80,1249.3245283486187,1123.6604400634765
81,1257.5824094025986,1129.7218668619792
82,1273.069404049196,1126.8265625
83,1255.8080687591996,1141.1716613769531
84,1252.5290438887002,1130.6405792236328
85,1251.369651020437,1124.350547281901
86,1261.5422761336617,1128.7465474446615
87,1254.6605242300725,1123.4147043863932
88,1247.7661570673404,1131.1731923421223
89,1258.258744834126,1147.0860036214192
90,1264.405029296875,1127.2584025065105
91,1256.1070972387342,1124.5359334309896
92,1259.1802182404892,1126.6713267008463
93,1252.9915718410325,1124.6406819661458
94,1254.008739526721,1139.8900349934895
95,1249.5054706075916,1124.0485544840494
96,1257.2465404565783,1114.8247151692708
97,1256.8304885643115,1117.5967702229818
98,1247.2386085399683,1119.339910888672
99,1243.4028784710429,1120.323979695638
100,1250.7063129812047,1114.5955352783203
101,1247.5516038977582,1125.1779184977213
